surface_form	bucket	number	reference_entry
Li et al. (2018)	in-corpus	6	Li, X., Hong, X., Moilanen, A., Huang, X., Pfister, T., Zhao, G., & Pietikäinen, M. (2018). Towards reading hidden emotions: A comparative study of spontaneous micro-expression spotting and recognition methods. *IEEE Transactions on Affective Computing*, 9(4), 563–577.
(2018)	in-corpus	6	Li, X., Hong, X., Moilanen, A., Huang, X., Pfister, T., Zhao, G., & Pietikäinen, M. (2018). Towards reading hidden emotions: A comparative study of spontaneous micro-expression spotting and recognition methods. *IEEE Transactions on Affective Computing*, 9(4), 563–577.
Davison et al. (2018)	in-corpus	7	Davison, A. K., Lansley, C., Costen, N., Tan, K., & Yap, M. H. (2018). SAMM: A spontaneous micro-facial movement dataset. *IEEE Transactions on Affective Computing*, 9(1), 116–129.
(Davison et al., 2018)	in-corpus	7	Davison, A. K., Lansley, C., Costen, N., Tan, K., & Yap, M. H. (2018). SAMM: A spontaneous micro-facial movement dataset. *IEEE Transactions on Affective Computing*, 9(1), 116–129.
(Qu et al., 2016)	in-corpus	8	Qu, F., Wang, S.-J., Yan, W.-J., & Fu, X. (2016). CAS(ME)²: A database of spontaneous macro-expressions and micro-expressions. In M. Kurosu (Ed.), *Human-Computer Interaction, HCI 2016, Part III*, LNCS 9733 (pp. 48–59). Springer.
Davison et al. (2018, Table 1)	in-corpus	7	Davison, A. K., Lansley, C., Costen, N., Tan, K., & Yap, M. H. (2018). SAMM: A spontaneous micro-facial movement dataset. *IEEE Transactions on Affective Computing*, 9(1), 116–129.
Qu et al. (2016)	in-corpus	8	Qu, F., Wang, S.-J., Yan, W.-J., & Fu, X. (2016). CAS(ME)²: A database of spontaneous macro-expressions and micro-expressions. In M. Kurosu (Ed.), *Human-Computer Interaction, HCI 2016, Part III*, LNCS 9733 (pp. 48–59). Springer.
(2018, Table 1)	in-corpus	7	Davison, A. K., Lansley, C., Costen, N., Tan, K., & Yap, M. H. (2018). SAMM: A spontaneous micro-facial movement dataset. *IEEE Transactions on Affective Computing*, 9(1), 116–129.
(2016)	in-corpus	8	Qu, F., Wang, S.-J., Yan, W.-J., & Fu, X. (2016). CAS(ME)²: A database of spontaneous macro-expressions and micro-expressions. In M. Kurosu (Ed.), *Human-Computer Interaction, HCI 2016, Part III*, LNCS 9733 (pp. 48–59). Springer.
(See et al., 2019)	in-corpus	4	See, J., Yap, M. H., Li, J., Hong, X., & Wang, S.-J. (2019). MEGC 2019 — The second facial micro-expressions grand challenge. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
(Zhao & Pietikäinen, 2007)	in-corpus	5	Zhao, G., & Pietikäinen, M. (2007). Dynamic texture recognition using local binary patterns with an application to facial expressions. *IEEE Transactions on Pattern Analysis and Machine Intelligence*, 29(6), 915–928.
(Liong et al., 2018)	in-corpus	9	Liong, S.-T., See, J., Wong, K., & Phan, R. C.-W. (2018). Less is more: Micro-expression recognition from video using apex frame. *Signal Processing: Image Communication*, 62, 82–92.
(Liong et al., 2019a)	in-corpus	10	Liong, S.-T., Gan, Y. S., Yau, W.-C., Huang, Y.-C., & Tan, L. K. (2019a). OFF-ApexNet on micro-expression recognition system. *Signal Processing: Image Communication*, 74, 129–139.
Liong et al. (2019b)	in-corpus	11	Liong, S.-T., Gan, Y. S., See, J., Khor, H.-Q., & Huang, Y.-C. (2019b). Shallow triple stream three-dimensional CNN (STSTNet) for micro-expression recognition. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
(2019b)	in-corpus	11	Liong, S.-T., Gan, Y. S., See, J., Khor, H.-Q., & Huang, Y.-C. (2019b). Shallow triple stream three-dimensional CNN (STSTNet) for micro-expression recognition. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
Liu et al. (2019)	in-corpus	12	Liu, Y., Du, H., Zheng, L., & Gedeon, T. (2019). A neural micro-expression recognizer. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
(2019)	in-corpus	12	Liu, Y., Du, H., Zheng, L., & Gedeon, T. (2019). A neural micro-expression recognizer. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
See et al. (2019, Table IV)	in-corpus	4	See, J., Yap, M. H., Li, J., Hong, X., & Wang, S.-J. (2019). MEGC 2019 — The second facial micro-expressions grand challenge. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
(2019, Table IV)	in-corpus	4	See, J., Yap, M. H., Li, J., Hong, X., & Wang, S.-J. (2019). MEGC 2019 — The second facial micro-expressions grand challenge. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
Xia et al. (2020b)	in-corpus	13	Xia, Z., Peng, W., Khor, H.-Q., Feng, X., & Zhao, G. (2020b). Revealing the invisible with model and data shrinking for composite-database micro-expression recognition. *IEEE Transactions on Image Processing*, 29, 8590–8605.
(Yang et al., 2021)	in-corpus	14	Yang, L., Zhang, R.-Y., Li, L., & Xie, X. (2021). SimAM: A simple, parameter-free attention module for convolutional neural networks. *38th International Conference on Machine Learning (ICML)*.
(2020b)	in-corpus	13	Xia, Z., Peng, W., Khor, H.-Q., Feng, X., & Zhao, G. (2020b). Revealing the invisible with model and data shrinking for composite-database micro-expression recognition. *IEEE Transactions on Image Processing*, 29, 8590–8605.
Bai et al. (2021)	in-corpus	15	Bai, M., Goecke, R., & Herath, D. (2021). Micro-expression recognition based on video motion magnification and pre-trained neural network. *IEEE International Conference on Image Processing (ICIP 2021)*, 549–553.
Huang and Zhao (2018, 2021)	in-corpus	16, 17	Li, Y., Huang, X., & Zhao, G. (2018). Can micro-expression be recognized based on single apex frame? *IEEE International Conference on Image Processing (ICIP 2018)*. || Li, Y., Huang, X., & Zhao, G. (2021). Joint local and global information learning with single apex frame detection for micro-expression recognition. *IEEE Transactions on Image Processing*, 30, 249–263.
(2021)	in-corpus	15	Bai, M., Goecke, R., & Herath, D. (2021). Micro-expression recognition based on video motion magnification and pre-trained neural network. *IEEE International Conference on Image Processing (ICIP 2021)*, 549–553.
(2018, 2021)	in-corpus	16, 17	Li, Y., Huang, X., & Zhao, G. (2018). Can micro-expression be recognized based on single apex frame? *IEEE International Conference on Image Processing (ICIP 2018)*. || Li, Y., Huang, X., & Zhao, G. (2021). Joint local and global information learning with single apex frame detection for micro-expression recognition. *IEEE Transactions on Image Processing*, 30, 249–263.
Li et al. (2018, Table 6)	in-corpus	6	Li, X., Hong, X., Moilanen, A., Huang, X., Pfister, T., Zhao, G., & Pietikäinen, M. (2018). Towards reading hidden emotions: A comparative study of spontaneous micro-expression spotting and recognition methods. *IEEE Transactions on Affective Computing*, 9(4), 563–577.
(2018, Table 6)	in-corpus	6	Li, X., Hong, X., Moilanen, A., Huang, X., Pfister, T., Zhao, G., & Pietikäinen, M. (2018). Towards reading hidden emotions: A comparative study of spontaneous micro-expression spotting and recognition methods. *IEEE Transactions on Affective Computing*, 9(4), 563–577.
Huang and Zhao (2018)	in-corpus	16	Li, Y., Huang, X., & Zhao, G. (2018). Can micro-expression be recognized based on single apex frame? *IEEE International Conference on Image Processing (ICIP 2018)*.
Huang and Zhao (2021)	in-corpus	17	Li, Y., Huang, X., & Zhao, G. (2021). Joint local and global information learning with single apex frame detection for micro-expression recognition. *IEEE Transactions on Image Processing*, 30, 249–263.
(Li et al., 2018)	in-corpus	6	Li, X., Hong, X., Moilanen, A., Huang, X., Pfister, T., Zhao, G., & Pietikäinen, M. (2018). Towards reading hidden emotions: A comparative study of spontaneous micro-expression spotting and recognition methods. *IEEE Transactions on Affective Computing*, 9(4), 563–577.
(Li, Huang & Zhao, 2018, 2021)	in-corpus	16, 17	Li, Y., Huang, X., & Zhao, G. (2018). Can micro-expression be recognized based on single apex frame? *IEEE International Conference on Image Processing (ICIP 2018)*. || Li, Y., Huang, X., & Zhao, G. (2021). Joint local and global information learning with single apex frame detection for micro-expression recognition. *IEEE Transactions on Image Processing*, 30, 249–263.
(reported by Bai et al., 2021)	in-corpus	15	Bai, M., Goecke, R., & Herath, D. (2021). Micro-expression recognition based on video motion magnification and pre-trained neural network. *IEEE International Conference on Image Processing (ICIP 2021)*, 549–553.
(Bai et al., 2021)	in-corpus	15	Bai, M., Goecke, R., & Herath, D. (2021). Micro-expression recognition based on video motion magnification and pre-trained neural network. *IEEE International Conference on Image Processing (ICIP 2021)*, 549–553.
Liong et al. (2019a, 2019b)	in-corpus	10, 11	Liong, S.-T., Gan, Y. S., Yau, W.-C., Huang, Y.-C., & Tan, L. K. (2019a). OFF-ApexNet on micro-expression recognition system. *Signal Processing: Image Communication*, 74, 129–139. || Liong, S.-T., Gan, Y. S., See, J., Khor, H.-Q., & Huang, Y.-C. (2019b). Shallow triple stream three-dimensional CNN (STSTNet) for micro-expression recognition. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
Xu et al. (2017)	in-corpus	18	Xu, F., Zhang, J., & Wang, J. Z. (2017). Microexpression identification and categorization using a facial dynamics map. *IEEE Transactions on Affective Computing*, 8(2), 254–267.
Zhao et al. (2021)	in-corpus	19	Zhao, S., Tao, H., Zhang, Y., Xu, T., Zhang, K., Hao, Z., & Chen, E. (2021). A two-stage 3D CNN based learning method for spontaneous micro-expression recognition. *Neurocomputing*, 448, 276–289.
(2019a, 2019b)	in-corpus	10, 11	Liong, S.-T., Gan, Y. S., Yau, W.-C., Huang, Y.-C., & Tan, L. K. (2019a). OFF-ApexNet on micro-expression recognition system. *Signal Processing: Image Communication*, 74, 129–139. || Liong, S.-T., Gan, Y. S., See, J., Khor, H.-Q., & Huang, Y.-C. (2019b). Shallow triple stream three-dimensional CNN (STSTNet) for micro-expression recognition. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
(2017)	in-corpus	18	Xu, F., Zhang, J., & Wang, J. Z. (2017). Microexpression identification and categorization using a facial dynamics map. *IEEE Transactions on Affective Computing*, 8(2), 254–267.
Liong et al. (2019a)	in-corpus	10	Liong, S.-T., Gan, Y. S., Yau, W.-C., Huang, Y.-C., & Tan, L. K. (2019a). OFF-ApexNet on micro-expression recognition system. *Signal Processing: Image Communication*, 74, 129–139.
(2019a)	in-corpus	10	Liong, S.-T., Gan, Y. S., Yau, W.-C., Huang, Y.-C., & Tan, L. K. (2019a). OFF-ApexNet on micro-expression recognition system. *Signal Processing: Image Communication*, 74, 129–139.
(Xu et al., 2017)	in-corpus	18	Xu, F., Zhang, J., & Wang, J. Z. (2017). Microexpression identification and categorization using a facial dynamics map. *IEEE Transactions on Affective Computing*, 8(2), 254–267.
(Zhao et al., 2021)	in-corpus	19	Zhao, S., Tao, H., Zhang, Y., Xu, T., Zhang, K., Hao, Z., & Chen, E. (2021). A two-stage 3D CNN based learning method for spontaneous micro-expression recognition. *Neurocomputing*, 448, 276–289.
(Liong et al., 2019a, 2019b)	in-corpus	10, 11	Liong, S.-T., Gan, Y. S., Yau, W.-C., Huang, Y.-C., & Tan, L. K. (2019a). OFF-ApexNet on micro-expression recognition system. *Signal Processing: Image Communication*, 74, 129–139. || Liong, S.-T., Gan, Y. S., See, J., Khor, H.-Q., & Huang, Y.-C. (2019b). Shallow triple stream three-dimensional CNN (STSTNet) for micro-expression recognition. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
(Xu et al., 2016)	in-corpus	18	Xu, F., Zhang, J., & Wang, J. Z. (2017). Microexpression identification and categorization using a facial dynamics map. *IEEE Transactions on Affective Computing*, 8(2), 254–267.
Shreve et al. (2011)	in-corpus	2	Shreve, M., Godavarthy, S., Goldgof, D., & Sarkar, S. (2011). Macro- and micro-expression spotting in long videos using spatio-temporal strain. *IEEE International Conference on Automatic Face and Gesture Recognition (FG 2011)*, 51–56.
(2011)	in-corpus	2	Shreve, M., Godavarthy, S., Goldgof, D., & Sarkar, S. (2011). Macro- and micro-expression spotting in long videos using spatio-temporal strain. *IEEE International Conference on Automatic Face and Gesture Recognition (FG 2011)*, 51–56.
Liong et al. (2014a)	in-corpus	20	Liong, S.-T., Phan, R. C.-W., See, J., Oh, Y.-H., & Wong, K. (2014a). Optical strain based recognition of subtle emotions. *International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)*.
(2014a)	in-corpus	20	Liong, S.-T., Phan, R. C.-W., See, J., Oh, Y.-H., & Wong, K. (2014a). Optical strain based recognition of subtle emotions. *International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)*.
Liong et al. (2014b)	in-corpus	21	Liong, S.-T., See, J., Phan, R. C.-W., Le Ngo, A. C., Oh, Y.-H., & Wong, K. (2014b). Subtle expression recognition using optical strain weighted features. *Asian Conference on Computer Vision (ACCV) Workshops*.
(2014b)	in-corpus	21	Liong, S.-T., See, J., Phan, R. C.-W., Le Ngo, A. C., Oh, Y.-H., & Wong, K. (2014b). Subtle expression recognition using optical strain weighted features. *Asian Conference on Computer Vision (ACCV) Workshops*.
Liong et al. (2014a, 2014b, 2016)	in-corpus	20, 21, 22	Liong, S.-T., Phan, R. C.-W., See, J., Oh, Y.-H., & Wong, K. (2014a). Optical strain based recognition of subtle emotions. *International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)*. || Liong, S.-T., See, J., Phan, R. C.-W., Le Ngo, A. C., Oh, Y.-H., & Wong, K. (2014b). Subtle expression recognition using optical strain weighted features. *Asian Conference on Computer Vision (ACCV) Workshops*. || Liong, S.-T., See, J., Phan, R. C.-W., Oh, Y.-H., Le Ngo, A. C., Wong, K., & Tan, S.-W. (2016). Spontaneous subtle expression detection and recognition based on facial strain. *Signal Processing: Image Communication*, 47, 170–182.
(Liong et al., 2019b)	in-corpus	11	Liong, S.-T., Gan, Y. S., See, J., Khor, H.-Q., & Huang, Y.-C. (2019b). Shallow triple stream three-dimensional CNN (STSTNet) for micro-expression recognition. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
(2014a, 2014b, 2016)	in-corpus	20, 21, 22	Liong, S.-T., Phan, R. C.-W., See, J., Oh, Y.-H., & Wong, K. (2014a). Optical strain based recognition of subtle emotions. *International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)*. || Liong, S.-T., See, J., Phan, R. C.-W., Le Ngo, A. C., Oh, Y.-H., & Wong, K. (2014b). Subtle expression recognition using optical strain weighted features. *Asian Conference on Computer Vision (ACCV) Workshops*. || Liong, S.-T., See, J., Phan, R. C.-W., Oh, Y.-H., Le Ngo, A. C., Wong, K., & Tan, S.-W. (2016). Spontaneous subtle expression detection and recognition based on facial strain. *Signal Processing: Image Communication*, 47, 170–182.
Liong et al. (2016)	in-corpus	22	Liong, S.-T., See, J., Phan, R. C.-W., Oh, Y.-H., Le Ngo, A. C., Wong, K., & Tan, S.-W. (2016). Spontaneous subtle expression detection and recognition based on facial strain. *Signal Processing: Image Communication*, 47, 170–182.
Liong et al. (2014a, 2014b)	in-corpus	20, 21	Liong, S.-T., Phan, R. C.-W., See, J., Oh, Y.-H., & Wong, K. (2014a). Optical strain based recognition of subtle emotions. *International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)*. || Liong, S.-T., See, J., Phan, R. C.-W., Le Ngo, A. C., Oh, Y.-H., & Wong, K. (2014b). Subtle expression recognition using optical strain weighted features. *Asian Conference on Computer Vision (ACCV) Workshops*.
(2014a, 2014b)	in-corpus	20, 21	Liong, S.-T., Phan, R. C.-W., See, J., Oh, Y.-H., & Wong, K. (2014a). Optical strain based recognition of subtle emotions. *International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)*. || Liong, S.-T., See, J., Phan, R. C.-W., Le Ngo, A. C., Oh, Y.-H., & Wong, K. (2014b). Subtle expression recognition using optical strain weighted features. *Asian Conference on Computer Vision (ACCV) Workshops*.
Liong et al. (2016, Table 8)	in-corpus	22	Liong, S.-T., See, J., Phan, R. C.-W., Oh, Y.-H., Le Ngo, A. C., Wong, K., & Tan, S.-W. (2016). Spontaneous subtle expression detection and recognition based on facial strain. *Signal Processing: Image Communication*, 47, 170–182.
(2016, Table 8)	in-corpus	22	Liong, S.-T., See, J., Phan, R. C.-W., Oh, Y.-H., Le Ngo, A. C., Wong, K., & Tan, S.-W. (2016). Spontaneous subtle expression detection and recognition based on facial strain. *Signal Processing: Image Communication*, 47, 170–182.
(Shreve et al., 2011; Liong et al., 2014a)	in-corpus	2, 20	Shreve, M., Godavarthy, S., Goldgof, D., & Sarkar, S. (2011). Macro- and micro-expression spotting in long videos using spatio-temporal strain. *IEEE International Conference on Automatic Face and Gesture Recognition (FG 2011)*, 51–56. || Liong, S.-T., Phan, R. C.-W., See, J., Oh, Y.-H., & Wong, K. (2014a). Optical strain based recognition of subtle emotions. *International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)*.
(implicit in the max-normalisation of Liong et al., 2016)	in-corpus	22	Liong, S.-T., See, J., Phan, R. C.-W., Oh, Y.-H., Le Ngo, A. C., Wong, K., & Tan, S.-W. (2016). Spontaneous subtle expression detection and recognition based on facial strain. *Signal Processing: Image Communication*, 47, 170–182.
(Liong et al., 2014a, 2014b, 2016; Liong et al., 2019b)	in-corpus	20, 21, 22, 11	Liong, S.-T., Phan, R. C.-W., See, J., Oh, Y.-H., & Wong, K. (2014a). Optical strain based recognition of subtle emotions. *International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)*. || Liong, S.-T., See, J., Phan, R. C.-W., Le Ngo, A. C., Oh, Y.-H., & Wong, K. (2014b). Subtle expression recognition using optical strain weighted features. *Asian Conference on Computer Vision (ACCV) Workshops*. || Liong, S.-T., See, J., Phan, R. C.-W., Oh, Y.-H., Le Ngo, A. C., Wong, K., & Tan, S.-W. (2016). Spontaneous subtle expression detection and recognition based on facial strain. *Signal Processing: Image Communication*, 47, 170–182. || Liong, S.-T., Gan, Y. S., See, J., Khor, H.-Q., & Huang, Y.-C. (2019b). Shallow triple stream three-dimensional CNN (STSTNet) for micro-expression recognition. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
(Liong et al., 2014a, 2016)	in-corpus	20, 22	Liong, S.-T., Phan, R. C.-W., See, J., Oh, Y.-H., & Wong, K. (2014a). Optical strain based recognition of subtle emotions. *International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)*. || Liong, S.-T., See, J., Phan, R. C.-W., Oh, Y.-H., Le Ngo, A. C., Wong, K., & Tan, S.-W. (2016). Spontaneous subtle expression detection and recognition based on facial strain. *Signal Processing: Image Communication*, 47, 170–182.
(Liong et al., 2016)	in-corpus	22	Liong, S.-T., See, J., Phan, R. C.-W., Oh, Y.-H., Le Ngo, A. C., Wong, K., & Tan, S.-W. (2016). Spontaneous subtle expression detection and recognition based on facial strain. *Signal Processing: Image Communication*, 47, 170–182.
Lu et al. (2015)	in-corpus	23	Lu, Z., Luo, Z., Zheng, H., Chen, J., & Li, W. (2015). A Delaunay-based temporal coding model for micro-expression recognition. In C. V. Jawahar & S. Shan (Eds.), *ACCV 2014 Workshops, Part II*, LNCS 9009 (pp. 698–711). Springer.
(2015)	in-corpus	23	Lu, Z., Luo, Z., Zheng, H., Chen, J., & Li, W. (2015). A Delaunay-based temporal coding model for micro-expression recognition. In C. V. Jawahar & S. Shan (Eds.), *ACCV 2014 Workshops, Part II*, LNCS 9009 (pp. 698–711). Springer.
Ben et al. (2021)	in-corpus	24	Ben, X., Ren, Y., Zhang, J., Wang, S.-J., Kpalma, K., Meng, W., & Liu, Y.-J. (2021). Video-based facial micro-expression analysis: A survey of datasets, features and algorithms. *IEEE Transactions on Pattern Analysis and Machine Intelligence*. https://doi.org/10.1109/TPAMI.2021.3067464
(Lu et al., 2015)	in-corpus	23	Lu, Z., Luo, Z., Zheng, H., Chen, J., & Li, W. (2015). A Delaunay-based temporal coding model for micro-expression recognition. In C. V. Jawahar & S. Shan (Eds.), *ACCV 2014 Workshops, Part II*, LNCS 9009 (pp. 698–711). Springer.
(Ben et al., 2021)	in-corpus	24	Ben, X., Ren, Y., Zhang, J., Wang, S.-J., Kpalma, K., Meng, W., & Liu, Y.-J. (2021). Video-based facial micro-expression analysis: A survey of datasets, features and algorithms. *IEEE Transactions on Pattern Analysis and Machine Intelligence*. https://doi.org/10.1109/TPAMI.2021.3067464
(Xia et al., 2020a)	in-corpus	25	Xia, Z., Hong, X., Gao, X., Feng, X., & Zhao, G. (2020a). Spatiotemporal recurrent convolutional networks for recognizing spontaneous micro-expressions. *IEEE Transactions on Multimedia*, 22(3), 626–640.
Xia et al. (2020a)	in-corpus	25	Xia, Z., Hong, X., Gao, X., Feng, X., & Zhao, G. (2020a). Spatiotemporal recurrent convolutional networks for recognizing spontaneous micro-expressions. *IEEE Transactions on Multimedia*, 22(3), 626–640.
(2020a)	in-corpus	25	Xia, Z., Hong, X., Gao, X., Feng, X., & Zhao, G. (2020a). Spatiotemporal recurrent convolutional networks for recognizing spontaneous micro-expressions. *IEEE Transactions on Multimedia*, 22(3), 626–640.
(Xia et al., 2020b)	in-corpus	13	Xia, Z., Peng, W., Khor, H.-Q., Feng, X., & Zhao, G. (2020b). Revealing the invisible with model and data shrinking for composite-database micro-expression recognition. *IEEE Transactions on Image Processing*, 29, 8590–8605.
Yang et al. (2021)	in-corpus	14	Yang, L., Zhang, R.-Y., Li, L., & Xie, X. (2021). SimAM: A simple, parameter-free attention module for convolutional neural networks. *38th International Conference on Machine Learning (ICML)*.
Yang et al. (2021, Table 1)	in-corpus	14	Yang, L., Zhang, R.-Y., Li, L., & Xie, X. (2021). SimAM: A simple, parameter-free attention module for convolutional neural networks. *38th International Conference on Machine Learning (ICML)*.
(2021, Table 1)	in-corpus	14	Yang, L., Zhang, R.-Y., Li, L., & Xie, X. (2021). SimAM: A simple, parameter-free attention module for convolutional neural networks. *38th International Conference on Machine Learning (ICML)*.
Zhang et al. (2022)	in-corpus	26	Zhang, L., Hong, X., Arandjelović, O., & Zhao, G. (2022). Short and long range relation based spatio-temporal transformer for micro-expression recognition. *IEEE Transactions on Affective Computing*, 13(4), 1973–1985.
(2022)	in-corpus	26	Zhang, L., Hong, X., Arandjelović, O., & Zhao, G. (2022). Short and long range relation based spatio-temporal transformer for micro-expression recognition. *IEEE Transactions on Affective Computing*, 13(4), 1973–1985.
Dosovitskiy et al. (2021)	in-corpus	27	Dosovitskiy, A., Beyer, L., Kolesnikov, A., Weissenborn, D., Zhai, X., Unterthiner, T., Dehghani, M., Minderer, M., Heigold, G., Gelly, S., Uszkoreit, J., & Houlsby, N. (2021). An image is worth 16 × 16 words: Transformers for image recognition at scale. *International Conference on Learning Representations (ICLR)*.
OFF-ApexNet (2019)	in-corpus	10	Liong, S.-T., Gan, Y. S., Yau, W.-C., Huang, Y.-C., & Tan, L. K. (2019a). OFF-ApexNet on micro-expression recognition system. *Signal Processing: Image Communication*, 74, 129–139.
STSTNet (2019)	in-corpus	11	Liong, S.-T., Gan, Y. S., See, J., Khor, H.-Q., & Huang, Y.-C. (2019b). Shallow triple stream three-dimensional CNN (STSTNet) for micro-expression recognition. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
EMR (2019)	in-corpus	12	Liu, Y., Du, H., Zheng, L., & Gedeon, T. (2019). A neural micro-expression recognizer. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
RCN (2020)	in-corpus	25	Xia, Z., Hong, X., Gao, X., Feng, X., & Zhao, G. (2020a). Spatiotemporal recurrent convolutional networks for recognizing spontaneous micro-expressions. *IEEE Transactions on Multimedia*, 22(3), 626–640.
(2020)	in-corpus	25	Xia, Z., Hong, X., Gao, X., Feng, X., & Zhao, G. (2020a). Spatiotemporal recurrent convolutional networks for recognizing spontaneous micro-expressions. *IEEE Transactions on Multimedia*, 22(3), 626–640.
Zhang et al. (2022, CDE results table)	in-corpus	26	Zhang, L., Hong, X., Arandjelović, O., & Zhao, G. (2022). Short and long range relation based spatio-temporal transformer for micro-expression recognition. *IEEE Transactions on Affective Computing*, 13(4), 1973–1985.
(2022, CDE results table)	in-corpus	26	Zhang, L., Hong, X., Arandjelović, O., & Zhao, G. (2022). Short and long range relation based spatio-temporal transformer for micro-expression recognition. *IEEE Transactions on Affective Computing*, 13(4), 1973–1985.
